id;url;tags
0;/Users/dudeamir/Documents/DemoPics/hackgrowth.png;"GrowthHack,Startup,UserAcquisition,DigitalMarketing,ScaleUp
"
1;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Explore_the_universe_with_our_interactiv_208d2bb1-27fb-4abc-9761-5dfd198aaaf9.png;Space,Magazines,Universe,Explore,Visuals
2;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Experience_comfort_on_the_go_with_our_la_c8146bd7-0649-4e14-8a3f-94dd6f08919b.png;TravelPillows,Comfort,Accessories,Journey,Rest
3;/Users/dudeamir/Documents/DemoPics/orwellcoin.png;"UBI,PassiveIncome,DecentralizedID,IdentitySecurity,Earnings
"
5;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Stay_fit_and_active_with_our_range_of_gy_b884e682-71bf-4411-90d8-3dec9bc2033e.png;Gym,Equipment,Fitness,Durability,Performance
6;/Users/dudeamir/Documents/DemoPics/barbiemovie.png;"BarbieFilm,AnimatedAdventure,DollStories,PrincessTales,KidsFantasy
"
7;/Users/dudeamir/Documents/DemoPics/seccasino.png;"Casino,OnlineBetting,SlotGames,SportsWagering,Jackpot
"
8;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Refresh_your_morning_routine_with_our_ar_92feb05c-2809-49ab-b5da-70ab31b2607a.png;Coffee,Artisanal,Beans,Brew,Morning
9;/Users/dudeamir/Documents/DemoPics/bike.png;"MountainBiking,OffroadCycling,FullSuspension,TrailRiding,MTBGear
"
10;/Users/dudeamir/Documents/DemoPics/runningshoe.png;"RunningGear,PerformanceFootwear,MarathonShoes,TrailRunning,ArchSupport
"
11;/Users/dudeamir/Documents/DemoPics/meme.png;"MemeCulture,ViralContent,memcoin,Meme,speculation
"
12;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Capture_the_stars_with_our_latest_range__6fb2e56e-39a9-4d2b-9580-15732dca2daf.png;Photography,Courses,Professional,Capture,Learn
13;/Users/dudeamir/Documents/DemoPics/forniture.png;"Furnishings,Decor,Contemporary,Minimalist,Ergonomic
"
14;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Master_the_art_of_photography_with_our_p_65295211-28df-4ed7-97c0-0541b4566314.png;Photography,Courses,Professional,Capture,Learn
15;/Users/dudeamir/Documents/DemoPics/sportcar.png;"Speed,Convertible,Coupe,Luxury,Aerodynamic
"
16;/Users/dudeamir/Documents/DemoPics/vegan.png;"Vegan,PlantBased,CrueltyFree,EthicalEating,VeganCuisine
"
17;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Dive_deep_into_historical_mysteries_with_e167cf6e-67a4-4fe2-a525-574c0c73704c.png;Documentaries,History,Mysteries,Watch,Intriguing
18;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Experience_cinema_at_home_with_our_ultra_a9c417be-dafd-4baa-bb01-da77d37ccf83.png;Projectors,Cinema,HD,Audio,Visuals
19;/Users/dudeamir/Documents/DemoPics/hikingbag.png;"Backpack,Lightweight,Waterproof,Compact,Durable
"
20;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Master_the_art_of_coding_with_our_compre_085424d5-3729-4248-b38d-fcd6e6e9efdc.png;Coding,Programming,Courses,Tech,Learn
21;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Freshen_up_your_space_with_our_aromatic__fb67c3f0-8f83-4cd8-b71b-4a23b49ce8b5.png;Candles,Aromatic,Fragrances,HomeDecor,Relax
22;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Discover_the_serene_beauty_of_the_worlds_e47f02e5-7543-470b-9dff-3d6e068260b1.png;Travel,Beaches,Getaway,Vacations,Serene
23;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Embrace_sustainable_living_with_our_eco-_4e975e5a-bba0-441d-a0e4-9b001c3a3a1b.png;EcoFriendly,Sustainable,Products,Green,Environment
24;/Users/dudeamir/Documents/DemoPics/energydrink.png;"Caffeine,Boost,Stamina,Electrolytes,Refreshing
"
25;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Make_your_garden_bloom_with_our_range_of_622032a0-5639-498a-b6c0-f862396e34c7.png;SmartHome,Devices,Connected,Technology,Control
26;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Decorate_your_space_with_our_exquisite_c_27b8f03c-5df7-4bb7-84f2-0b483741407b.png;Pottery,Handcrafted,Ceramics,Decorate,Artisan
27;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Dive_into_the_world_of_virtual_reality.__be24bca3-d4cc-4530-a41f-4fa688cdab84.png;VR,Immersive,Gaming,Headset,Interactive
28;/Users/dudeamir/Documents/DemoPics/babycloth.png;"Infant,Parant,Organic,Adorable,Comfortable
"
29;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Dive_into_gripping_tales_of_suspense_and_0f8d5b4e-c77e-42a9-9728-8a195c3b41f2.png;Novels,Reading,Suspense,Bestselling,Drama
30;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Transform_your_look_with_our_chic_eyewea_22f7037d-5ea3-4774-9ef1-70f0b8c6de23.png;Eyewear,Chic,Glasses,Style,Functionality
31;/Users/dudeamir/Documents/DemoPics/speaker.png;"Audio,Bluetooth,Portable,Amplified,Wireless
"
32;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Stay_hydrated_in_style_with_our_designer_beae3bec-90d1-4003-9fa9-d290b6fb65c0.png;Hydration,WaterBottles,Designer,Drink,Flasks
33;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Make_your_home_smarter_with_our_range_of_f1af4e92-5513-4325-8e97-7cd747c5c094.png;SmartHome,Devices,Connected,Technology,Control
34;/Users/dudeamir/Documents/DemoPics/dudeamir_Advertisement_Boost_your_immune_system_with_our_range__9030762c-ee83-47b8-97a2-b3b8e29591c6.png;Supplements,Organic,Health,Immunity,Wellness
